parkType,countryCode,countryName,name,latitude,longitude
national_park,AU,"Australia","Chesterton Range",-26.154166666,147.324166666
national_park,AU,"Australia","Chillagoe-Mungana Caves",-17.091666666,144.393055555
national_park,AU,"Australia","Chiltern-Mt Pilot",-36.1331,146.601
national_park,AU,"Australia","Christmas Island",-10.49153,105.62316
national_park,AU,"Australia","Churchill",-37.9514,145.26
national_park,AU,"Australia","Churchill Island Marine",-38.498,145.317
botanical_garden,AU,"Australia","City",-27.4747,153.03
national_park,AU,"Australia","Claremont Isles",-13.911111111,143.833888888
national_park,AU,"Australia","Cleland",-34.9675,138.695833333
national_park,AU,"Australia","Clements Gap Conservation Park",-33.49232,138.0761
national_park,AU,"Australia","Clump Mountain",-17.820277777,146.095555555
national_park,AU,"Australia","Clyde River",-35.678333333,150.149166666
national_park,AU,"Australia","Coalstoun Lakes",-25.5978,151.909
national_park,AU,"Australia","Cobboboonee",-38.1264,141.446
national_park,AU,"Australia","Cobbora CCA Zone 3 State Conservation Area",-32.04,149.168
national_park,AU,"Australia","Cocoparra",-34.131666666,146.2177778
national_park,AU,"Australia","Cod Grounds Marine Park",-31.681111,152.910278
national_park,AU,"Australia","Coffin Bay",-34.5822,135.322
botanical_garden,AU,"Australia","Colac",-38.3329,143.591
national_park,AU,"Australia","Collier Range",-24.6236,119.272
national_park,AU,"Australia","Columbey",-32.58782691,151.73732758
national_park,AU,"Australia","Conimbla",-33.748333333,148.439166666
national_park,AU,"Australia","Conjola",-35.249166666,150.475833333
national_park,AU,"Australia","Conondale",-26.663055555,152.645555555
national_park,AU,"Australia","Conway",-20.263333333,148.765
botanical_garden,AU,"Australia","Cook Park, Orange",-33.2833192,149.089756
botanical_garden,AU,"Australia","Cooktown",-15.4720391,145.260049
national_park,AU,"Australia","Coolah Tops",-31.750833333,150.071388888
botanical_garden,AU,"Australia","Coolgardie Arboretum",-30.95403,121.16234
national_park,AU,"Australia","Coopracambra",-37.3114,149.22
national_park,AU,"Australia","Coorabakh",-31.712222222,152.5225
national_park,AU,"Australia","Coorong",-36.049166666,139.553611111
national_park,AU,"Australia","Cordalba",-25.1153518,152.0962645
national_park,AU,"Australia","Corner Inlet Marine",-38.76666667,146.33333333
national_park,AU,"Australia","Cottan-Bimbang",-31.350555555,152.133888888
national_park,AU,"Australia","Couradda CCA Zone 1",-30.0878,149.9279
national_park,AU,"Australia","Cowaramup",-33.872419444,114.9904
national_park,AU,"Australia","Cradle Mountain-Lake St Clair",-41.830277777,145.924166666
national_park,AU,"Australia","Crater Lakes",-17.245833333,145.628888888
national_park,AU,"Australia","Crawney Pass CCA Zone 1",-31.5866,151.0476
national_park,AU,"Australia","Croajingolong",-37.6167,149.4667
national_park,AU,"Australia","Crooked Creek CCA Zone 1",-29.2416,151.2611
national_park,AU,"Australia","Crowdy Bay",-31.831666666,152.6677778
national_park,AU,"Australia","Crows Nest",-27.253888888,152.074166666
national_park,AU,"Australia","Cudgegong River",-32.6152,149.2512
national_park,AU,"Australia","Cudmore",-22.9409,146.2939
national_park,AU,"Australia","Culgoa",-29.080555555,147.035277777
national_park,AU,"Australia","Culgoa Floodplain",-28.8225,146.825833333
national_park,AU,"Australia","Cunnawarra",-30.624722222,152.217222222
national_park,AU,"Australia","Curracabundi",-31.6457826,151.61956787
national_park,AU,"Australia","Currawinya",-28.783702777,144.478011111
botanical_garden,AU,"Australia","Currency Creek Arboretum",-35.428856,138.7614977
national_park,AU,"Australia","Curtain Fig",-17.28583333,145.57361111
national_park,AU,"Australia","Curtis Island",-23.530277777,151.221111111
national_park,AU,"Australia","D'Aguilar",-27.308888888,152.777777777
national_park,AU,"Australia","D'Entrecasteaux",-34.7469,116.115
national_park,AU,"Australia","Daarrba National Park (Cape York Peninsula Aboriginal Land)",-15.0692,145.123
national_park,AU,"Australia","Daintree",-16.3,145.2
national_park,AU,"Australia","Dalgaranga",-27.818,117.111
national_park,AU,"Australia","Dalgarup",-33.9845943,115.9860788
national_park,AU,"Australia","Dalrymple",-19.787777777,146.099444444
botanical_garden,AU,"Australia","Dame Elisabeth Murdoch Arboretum",-38.1550287,145.1759996
national_park,AU,"Australia","Dan Dan",-24.15945,151.066669444
botanical_garden,AU,"Australia","Dan Gleeson Memorial Gardens",-19.3061701,146.732192
national_park,AU,"Australia","Danbulla",-17.15333333,145.54638889
national_park,AU,"Australia","Dandenong Ranges",-37.8103,145.386
botanical_garden,AU,"Australia","Dandenong Ranges",-37.8522,145.369
national_park,AU,"Australia","Davies Creek",-17.009722222,145.581666666
national_park,AU,"Australia","Dawes",-24.65,151.208330555
national_park,AU,"Australia","Deep Creek",-35.6328,138.2518
national_park,AU,"Australia","Deepwater",-24.261111111,151.891944444
national_park,AU,"Australia","Deer Reserve",-27.085607,152.5268846
botanical_garden,AU,"Australia","Demesne Farm Minor Arboretum",-32.2543819,152.4533684
national_park,AU,"Australia","Denham Group",-11.108888888,143.015833333
botanical_garden,AU,"Australia","Derby",-17.3035226,123.628317
national_park,AU,"Australia","Deua",-35.915,149.7511111
national_park,AU,"Australia","Dharawal",-34.203852,150.851526
national_park,AU,"Australia","Dharug",-33.365,151.0844444
national_park,AU,"Australia","Dhilba Guuranda-Innes",-35.2278,136.895
national_park,AU,"Australia","Diamantina",-23.357222222,141.136111111
national_park,AU,"Australia","Dinden",-17.00972222,145.61666667
theme_park,AU,"Australia","Dinosaur World",-37.424,143.893
national_park,AU,"Australia","Dipperu",-21.938055555,148.715277777
national_park,AU,"Australia","Dirk Hartog Island",-25.82027778,113.07944444
national_park,AU,"Australia","Discovery Bay Marine",-38.35,141.36666667
national_park,AU,"Australia","Djiru",-17.89166667,146.06166667
national_park,AU,"Australia","Djukbinj",-12.1333,131.286
national_park,AU,"Australia","Dooragan",-31.664444444,152.773888888
national_park,AU,"Australia","Dorrigo",-30.381666666,152.7511111
national_park,AU,"Australia","Douglas-Apsley",-41.7583,148.199
national_park,AU,"Australia","Dowe CCA Zone 1",-30.7897,150.4962
theme_park,AU,"Australia","Dreamland",-37.868036,144.976369
theme_park,AU,"Australia","DreamWorks Experience",-27.8641,153.317
theme_park,AU,"Australia","Dreamworld",-27.864,153.316
national_park,AU,"Australia","Drillwarrina CCA Zone 1",-31.8802,148.5461
national_park,AU,"Australia","Drovers Cave",-30.234444444,115.087777777
national_park,AU,"Australia","Dryander",-20.218055555,148.565833333
botanical_garden,AU,"Australia","Dryandra Inland Arboretum",-32.7821858,116.9687799
national_park,AU,"Australia","Dryandra Woodland",-32.7833,116.967
national_park,AU,"Australia","Drysdale River",-15.1614,126.776
national_park,AU,"Australia","Dthinna Dthinnawan CCA Zone 1",-28.811111111,150.858333333
botanical_garden,AU,"Australia","Dubbo Regional",-32.2529571,148.6347917
national_park,AU,"Australia","Dularcha",-26.776666666,152.961111111
national_park,AU,"Australia","Dulcie Range",-22.5778,135.608
botanical_garden,AU,"Australia","Dulegal Native Plant Arboretum",-31.3439174,151.1438222
national_park,AU,"Australia","Dunggir",-30.676666666,152.651944444
